#1615
#1615
# what-if time: 247.49099230766296
# cost_requests: 394317	cache_hits: 342140
data;

set QUERIES :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99;

param a :=
78 8192 # ['wp_web_page_sk']
79 18784256 # ['wr_item_sk']
80 18784256 # ['wr_order_number']
81 20668416 # ['wr_return_amt']
82 18784256 # ['wr_returned_date_sk']
83 188039168 # ['ws_bill_customer_sk']
84 188039168 # ['ws_item_sk']
85 188039168 # ['ws_order_number']
86 188039168 # ['ws_promo_sk']
87 188039168 # ['ws_sold_date_sk']
88 24166400 # ['c_birth_country', 'c_current_addr_sk']
89 24166400 # ['c_birth_country', 'c_customer_sk']
90 20897792 # ['c_birth_day', 'c_current_addr_sk']
91 20897792 # ['c_birth_day', 'c_customer_sk']
92 20897792 # ['c_birth_month', 'c_current_addr_sk']
93 20897792 # ['c_birth_month', 'c_customer_sk']
94 20897792 # ['c_birth_year', 'c_current_addr_sk']
95 20897792 # ['c_birth_year', 'c_customer_sk']
96 24166400 # ['c_current_addr_sk', 'c_birth_country']
97 20897792 # ['c_current_addr_sk', 'c_birth_day']
98 20897792 # ['c_current_addr_sk', 'c_birth_month']
99 20897792 # ['c_current_addr_sk', 'c_birth_year']
100 20897792 # ['c_current_addr_sk', 'c_current_cdemo_sk']
101 20897792 # ['c_current_addr_sk', 'c_current_hdemo_sk']
102 29392896 # ['c_current_addr_sk', 'c_customer_id']
103 20897792 # ['c_current_addr_sk', 'c_customer_sk']
104 51601408 # ['c_current_addr_sk', 'c_email_address']
105 32006144 # ['c_current_addr_sk', 'c_first_name']
106 20897792 # ['c_current_addr_sk', 'c_first_sales_date_sk']
107 20897792 # ['c_current_addr_sk', 'c_first_shipto_date_sk']
108 38535168 # ['c_current_addr_sk', 'c_last_name']
109 20897792 # ['c_current_addr_sk', 'c_last_review_date_sk']
110 18284544 # ['c_current_addr_sk', 'c_login']
111 19595264 # ['c_current_addr_sk', 'c_preferred_cust_flag']
112 25468928 # ['c_current_addr_sk', 'c_salutation']
113 24166400 # ['c_current_cdemo_sk', 'c_birth_country']
114 20897792 # ['c_current_cdemo_sk', 'c_birth_day']
115 20897792 # ['c_current_cdemo_sk', 'c_birth_month']
116 20897792 # ['c_current_cdemo_sk', 'c_birth_year']
117 20897792 # ['c_current_cdemo_sk', 'c_current_addr_sk']
118 20897792 # ['c_current_cdemo_sk', 'c_current_hdemo_sk']
119 29392896 # ['c_current_cdemo_sk', 'c_customer_id']
120 20897792 # ['c_current_cdemo_sk', 'c_customer_sk']
121 51601408 # ['c_current_cdemo_sk', 'c_email_address']
122 32006144 # ['c_current_cdemo_sk', 'c_first_name']
123 20897792 # ['c_current_cdemo_sk', 'c_first_sales_date_sk']
124 20897792 # ['c_current_cdemo_sk', 'c_first_shipto_date_sk']
125 38535168 # ['c_current_cdemo_sk', 'c_last_name']
126 20897792 # ['c_current_cdemo_sk', 'c_last_review_date_sk']
127 18284544 # ['c_current_cdemo_sk', 'c_login']
128 19595264 # ['c_current_cdemo_sk', 'c_preferred_cust_flag']
129 25468928 # ['c_current_cdemo_sk', 'c_salutation']
130 20897792 # ['c_current_hdemo_sk', 'c_current_addr_sk']
131 20897792 # ['c_current_hdemo_sk', 'c_customer_sk']
132 32653312 # ['c_customer_id', 'c_birth_country']
133 29392896 # ['c_customer_id', 'c_birth_day']
134 29392896 # ['c_customer_id', 'c_birth_month']
135 29392896 # ['c_customer_id', 'c_birth_year']
136 29392896 # ['c_customer_id', 'c_current_addr_sk']
137 29392896 # ['c_customer_id', 'c_current_cdemo_sk']
138 29392896 # ['c_customer_id', 'c_current_hdemo_sk']
139 29392896 # ['c_customer_id', 'c_customer_sk']
140 60088320 # ['c_customer_id', 'c_email_address']
141 40493056 # ['c_customer_id', 'c_first_name']
142 29392896 # ['c_customer_id', 'c_first_sales_date_sk']
143 29392896 # ['c_customer_id', 'c_first_shipto_date_sk']
144 47022080 # ['c_customer_id', 'c_last_name']
145 29392896 # ['c_customer_id', 'c_last_review_date_sk']
146 26779648 # ['c_customer_id', 'c_login']
147 28082176 # ['c_customer_id', 'c_preferred_cust_flag']
148 33964032 # ['c_customer_id', 'c_salutation']
149 24166400 # ['c_customer_sk', 'c_birth_country']
150 20897792 # ['c_customer_sk', 'c_birth_day']
151 20897792 # ['c_customer_sk', 'c_birth_month']
152 20897792 # ['c_customer_sk', 'c_birth_year']
153 20897792 # ['c_customer_sk', 'c_current_addr_sk']
154 20897792 # ['c_customer_sk', 'c_current_cdemo_sk']
155 20897792 # ['c_customer_sk', 'c_current_hdemo_sk']
156 29392896 # ['c_customer_sk', 'c_customer_id']
157 51601408 # ['c_customer_sk', 'c_email_address']
158 32006144 # ['c_customer_sk', 'c_first_name']
159 20897792 # ['c_customer_sk', 'c_first_sales_date_sk']
160 20897792 # ['c_customer_sk', 'c_first_shipto_date_sk']
161 38535168 # ['c_customer_sk', 'c_last_name']
162 20897792 # ['c_customer_sk', 'c_last_review_date_sk']
163 18284544 # ['c_customer_sk', 'c_login']
164 19595264 # ['c_customer_sk', 'c_preferred_cust_flag']
165 25468928 # ['c_customer_sk', 'c_salutation']
166 51601408 # ['c_email_address', 'c_current_addr_sk']
167 51601408 # ['c_email_address', 'c_customer_sk']
168 32006144 # ['c_first_name', 'c_current_addr_sk']
169 32006144 # ['c_first_name', 'c_customer_sk']
170 20897792 # ['c_first_sales_date_sk', 'c_current_addr_sk']
171 20897792 # ['c_first_sales_date_sk', 'c_customer_sk']
172 20897792 # ['c_first_shipto_date_sk', 'c_current_addr_sk']
173 20897792 # ['c_first_shipto_date_sk', 'c_customer_sk']
174 38535168 # ['c_last_name', 'c_current_addr_sk']
175 38535168 # ['c_last_name', 'c_customer_sk']
176 20897792 # ['c_last_review_date_sk', 'c_current_addr_sk']
177 20897792 # ['c_last_review_date_sk', 'c_customer_sk']
178 18284544 # ['c_login', 'c_current_addr_sk']
179 18284544 # ['c_login', 'c_customer_sk']
180 19595264 # ['c_preferred_cust_flag', 'c_current_addr_sk']
181 19595264 # ['c_preferred_cust_flag', 'c_customer_sk']
182 25468928 # ['c_salutation', 'c_current_addr_sk']
183 25468928 # ['c_salutation', 'c_customer_sk']
184 12083200 # ['ca_address_sk', 'ca_city']
185 13713408 # ['ca_address_sk', 'ca_country']
186 13713408 # ['ca_address_sk', 'ca_county']
187 10772480 # ['ca_address_sk', 'ca_gmt_offset']
188 15998976 # ['ca_address_sk', 'ca_location_type']
189 10117120 # ['ca_address_sk', 'ca_state']
190 12083200 # ['ca_address_sk', 'ca_street_name']
191 12730368 # ['ca_address_sk', 'ca_street_number']
192 14368768 # ['ca_address_sk', 'ca_street_type']
193 12730368 # ['ca_address_sk', 'ca_suite_number']
194 12730368 # ['ca_address_sk', 'ca_zip']
195 12083200 # ['ca_city', 'ca_address_sk']
196 15343616 # ['ca_city', 'ca_country']
197 15343616 # ['ca_city', 'ca_county']
198 12402688 # ['ca_city', 'ca_gmt_offset']
199 17629184 # ['ca_city', 'ca_location_type']
200 11755520 # ['ca_city', 'ca_state']
201 13713408 # ['ca_city', 'ca_street_name']
202 14368768 # ['ca_city', 'ca_street_number']
203 15998976 # ['ca_city', 'ca_street_type']
204 14368768 # ['ca_city', 'ca_suite_number']
205 14368768 # ['ca_city', 'ca_zip']
206 13713408 # ['ca_country', 'ca_address_sk']
207 13713408 # ['ca_county', 'ca_address_sk']
208 15343616 # ['ca_county', 'ca_city']
209 16982016 # ['ca_county', 'ca_country']
210 14041088 # ['ca_county', 'ca_gmt_offset']
211 19267584 # ['ca_county', 'ca_location_type']
212 13385728 # ['ca_county', 'ca_state']
213 15343616 # ['ca_county', 'ca_street_name']
214 15998976 # ['ca_county', 'ca_street_number']
215 17629184 # ['ca_county', 'ca_street_type']
216 15998976 # ['ca_county', 'ca_suite_number']
217 15998976 # ['ca_county', 'ca_zip']
218 10772480 # ['ca_gmt_offset', 'ca_address_sk']
219 12402688 # ['ca_gmt_offset', 'ca_city']
220 14041088 # ['ca_gmt_offset', 'ca_country']
221 14041088 # ['ca_gmt_offset', 'ca_county']
222 16326656 # ['ca_gmt_offset', 'ca_location_type']
223 10444800 # ['ca_gmt_offset', 'ca_state']
224 12402688 # ['ca_gmt_offset', 'ca_street_name']
225 13058048 # ['ca_gmt_offset', 'ca_street_number']
226 14696448 # ['ca_gmt_offset', 'ca_street_type']
227 13058048 # ['ca_gmt_offset', 'ca_suite_number']
228 13058048 # ['ca_gmt_offset', 'ca_zip']
229 15998976 # ['ca_location_type', 'ca_address_sk']
230 10117120 # ['ca_state', 'ca_address_sk']
231 11755520 # ['ca_state', 'ca_city']
232 13385728 # ['ca_state', 'ca_country']
233 13385728 # ['ca_state', 'ca_county']
234 10444800 # ['ca_state', 'ca_gmt_offset']
235 15671296 # ['ca_state', 'ca_location_type']
236 11755520 # ['ca_state', 'ca_street_name']
237 12402688 # ['ca_state', 'ca_street_number']
238 14041088 # ['ca_state', 'ca_street_type']
239 12402688 # ['ca_state', 'ca_suite_number']
240 12402688 # ['ca_state', 'ca_zip']
241 12083200 # ['ca_street_name', 'ca_address_sk']
242 12730368 # ['ca_street_number', 'ca_address_sk']
243 14368768 # ['ca_street_type', 'ca_address_sk']
244 12730368 # ['ca_suite_number', 'ca_address_sk']
245 12730368 # ['ca_zip', 'ca_address_sk']
246 14368768 # ['ca_zip', 'ca_city']
247 15998976 # ['ca_zip', 'ca_country']
248 15998976 # ['ca_zip', 'ca_county']
249 13058048 # ['ca_zip', 'ca_gmt_offset']
250 18284544 # ['ca_zip', 'ca_location_type']
251 12402688 # ['ca_zip', 'ca_state']
252 14368768 # ['ca_zip', 'ca_street_name']
253 15015936 # ['ca_zip', 'ca_street_number']
254 16654336 # ['ca_zip', 'ca_street_type']
255 15015936 # ['ca_zip', 'ca_suite_number']
256 8192 # ['cc_call_center_sk', 'cc_call_center_id']
257 8192 # ['cc_call_center_sk', 'cc_county']
258 8192 # ['cc_call_center_sk', 'cc_manager']
259 8192 # ['cc_call_center_sk', 'cc_name']
260 8192 # ['cc_county', 'cc_call_center_sk']
261 8192 # ['cc_manager', 'cc_call_center_sk']
262 8192 # ['cc_name', 'cc_call_center_sk']
263 97861632 # ['cd_credit_rating', 'cd_demo_sk']
264 140517376 # ['cd_credit_rating', 'cd_education_status']
265 92839936 # ['cd_credit_rating', 'cd_marital_status']
266 97861632 # ['cd_demo_sk', 'cd_credit_rating']
267 80289792 # ['cd_demo_sk', 'cd_dep_college_count']
268 80289792 # ['cd_demo_sk', 'cd_dep_count']
269 80289792 # ['cd_demo_sk', 'cd_dep_employed_count']
270 122953728 # ['cd_demo_sk', 'cd_education_status']
271 75276288 # ['cd_demo_sk', 'cd_gender']
272 75276288 # ['cd_demo_sk', 'cd_marital_status']
273 80289792 # ['cd_demo_sk', 'cd_purchase_estimate']
274 80289792 # ['cd_dep_college_count', 'cd_demo_sk']
275 122953728 # ['cd_dep_college_count', 'cd_education_status']
276 75276288 # ['cd_dep_college_count', 'cd_marital_status']
277 80289792 # ['cd_dep_count', 'cd_demo_sk']
278 122953728 # ['cd_dep_count', 'cd_education_status']
279 75276288 # ['cd_dep_count', 'cd_marital_status']
280 80289792 # ['cd_dep_employed_count', 'cd_demo_sk']
281 122953728 # ['cd_dep_employed_count', 'cd_education_status']
282 75276288 # ['cd_dep_employed_count', 'cd_marital_status']
283 140517376 # ['cd_education_status', 'cd_credit_rating']
284 122953728 # ['cd_education_status', 'cd_demo_sk']
285 122953728 # ['cd_education_status', 'cd_dep_college_count']
286 122953728 # ['cd_education_status', 'cd_dep_count']
287 122953728 # ['cd_education_status', 'cd_dep_employed_count']
288 117932032 # ['cd_education_status', 'cd_gender']
289 117932032 # ['cd_education_status', 'cd_marital_status']
290 122953728 # ['cd_education_status', 'cd_purchase_estimate']
291 75276288 # ['cd_gender', 'cd_demo_sk']
292 117932032 # ['cd_gender', 'cd_education_status']
293 70254592 # ['cd_gender', 'cd_marital_status']
294 92839936 # ['cd_marital_status', 'cd_credit_rating']
295 75276288 # ['cd_marital_status', 'cd_demo_sk']
296 75276288 # ['cd_marital_status', 'cd_dep_college_count']
297 75276288 # ['cd_marital_status', 'cd_dep_count']
298 75276288 # ['cd_marital_status', 'cd_dep_employed_count']
299 117932032 # ['cd_marital_status', 'cd_education_status']
300 70254592 # ['cd_marital_status', 'cd_gender']
301 75276288 # ['cd_marital_status', 'cd_purchase_estimate']
302 80289792 # ['cd_purchase_estimate', 'cd_demo_sk']
303 122953728 # ['cd_purchase_estimate', 'cd_education_status']
304 75276288 # ['cd_purchase_estimate', 'cd_marital_status']
305 704512 # ['cp_catalog_page_id', 'cp_catalog_page_sk']
306 704512 # ['cp_catalog_page_sk', 'cp_catalog_page_id']
307 60186624 # ['cr_item_sk', 'cr_call_center_sk']
308 60186624 # ['cr_item_sk', 'cr_catalog_page_sk']
309 63946752 # ['cr_item_sk', 'cr_net_loss']
310 60186624 # ['cr_item_sk', 'cr_order_number']
311 63946752 # ['cr_item_sk', 'cr_refunded_cash']
312 63946752 # ['cr_item_sk', 'cr_return_amount']
313 63946752 # ['cr_item_sk', 'cr_return_amt_inc_tax']
314 60186624 # ['cr_item_sk', 'cr_return_quantity']
315 60186624 # ['cr_item_sk', 'cr_returned_date_sk']
316 60186624 # ['cr_item_sk', 'cr_returning_addr_sk']
317 60186624 # ['cr_item_sk', 'cr_returning_customer_sk']
318 63946752 # ['cr_item_sk', 'cr_reversed_charge']
319 63946752 # ['cr_item_sk', 'cr_store_credit']
320 60186624 # ['cr_order_number', 'cr_call_center_sk']
321 60186624 # ['cr_order_number', 'cr_catalog_page_sk']
322 60186624 # ['cr_order_number', 'cr_item_sk']
323 63946752 # ['cr_order_number', 'cr_net_loss']
324 63946752 # ['cr_order_number', 'cr_refunded_cash']
325 63946752 # ['cr_order_number', 'cr_return_amount']
326 63946752 # ['cr_order_number', 'cr_return_amt_inc_tax']
327 60186624 # ['cr_order_number', 'cr_return_quantity']
328 60186624 # ['cr_order_number', 'cr_returned_date_sk']
329 60186624 # ['cr_order_number', 'cr_returning_addr_sk']
330 60186624 # ['cr_order_number', 'cr_returning_customer_sk']
331 63946752 # ['cr_order_number', 'cr_reversed_charge']
332 63946752 # ['cr_order_number', 'cr_store_credit']
333 63946752 # ['cr_return_amount', 'cr_call_center_sk']
334 63946752 # ['cr_return_amount', 'cr_catalog_page_sk']
335 63946752 # ['cr_return_amount', 'cr_item_sk']
336 67706880 # ['cr_return_amount', 'cr_net_loss']
337 63946752 # ['cr_return_amount', 'cr_order_number']
338 67706880 # ['cr_return_amount', 'cr_refunded_cash']
339 67706880 # ['cr_return_amount', 'cr_return_amt_inc_tax']
340 63946752 # ['cr_return_amount', 'cr_return_quantity']
341 63946752 # ['cr_return_amount', 'cr_returned_date_sk']
342 63946752 # ['cr_return_amount', 'cr_returning_addr_sk']
343 63946752 # ['cr_return_amount', 'cr_returning_customer_sk']
344 67706880 # ['cr_return_amount', 'cr_reversed_charge']
345 67706880 # ['cr_return_amount', 'cr_store_credit']
346 60186624 # ['cr_returned_date_sk', 'cr_call_center_sk']
347 60186624 # ['cr_returned_date_sk', 'cr_catalog_page_sk']
348 60186624 # ['cr_returned_date_sk', 'cr_item_sk']
349 63946752 # ['cr_returned_date_sk', 'cr_net_loss']
350 60186624 # ['cr_returned_date_sk', 'cr_order_number']
351 63946752 # ['cr_returned_date_sk', 'cr_refunded_cash']
352 63946752 # ['cr_returned_date_sk', 'cr_return_amount']
353 63946752 # ['cr_returned_date_sk', 'cr_return_amt_inc_tax']
354 60186624 # ['cr_returned_date_sk', 'cr_return_quantity']
355 60186624 # ['cr_returned_date_sk', 'cr_returning_addr_sk']
356 60186624 # ['cr_returned_date_sk', 'cr_returning_customer_sk']
357 63946752 # ['cr_returned_date_sk', 'cr_reversed_charge']
358 63946752 # ['cr_returned_date_sk', 'cr_store_credit']
359 60186624 # ['cr_returning_customer_sk', 'cr_call_center_sk']
360 60186624 # ['cr_returning_customer_sk', 'cr_catalog_page_sk']
361 60186624 # ['cr_returning_customer_sk', 'cr_item_sk']
362 63946752 # ['cr_returning_customer_sk', 'cr_net_loss']
363 60186624 # ['cr_returning_customer_sk', 'cr_order_number']
364 63946752 # ['cr_returning_customer_sk', 'cr_refunded_cash']
365 63946752 # ['cr_returning_customer_sk', 'cr_return_amount']
366 63946752 # ['cr_returning_customer_sk', 'cr_return_amt_inc_tax']
367 60186624 # ['cr_returning_customer_sk', 'cr_return_quantity']
368 60186624 # ['cr_returning_customer_sk', 'cr_returned_date_sk']
369 60186624 # ['cr_returning_customer_sk', 'cr_returning_addr_sk']
370 63946752 # ['cr_returning_customer_sk', 'cr_reversed_charge']
371 63946752 # ['cr_returning_customer_sk', 'cr_store_credit']
372 602021888 # ['cs_bill_addr_sk', 'cs_bill_customer_sk']
373 602021888 # ['cs_bill_addr_sk', 'cs_item_sk']
374 602021888 # ['cs_bill_addr_sk', 'cs_order_number']
375 602021888 # ['cs_bill_addr_sk', 'cs_ship_customer_sk']
376 602021888 # ['cs_bill_addr_sk', 'cs_sold_date_sk']
377 602021888 # ['cs_bill_cdemo_sk', 'cs_bill_customer_sk']
378 602021888 # ['cs_bill_cdemo_sk', 'cs_item_sk']
379 602021888 # ['cs_bill_cdemo_sk', 'cs_order_number']
380 602021888 # ['cs_bill_cdemo_sk', 'cs_ship_customer_sk']
381 602021888 # ['cs_bill_cdemo_sk', 'cs_sold_date_sk']
382 602021888 # ['cs_bill_customer_sk', 'cs_bill_addr_sk']
383 602021888 # ['cs_bill_customer_sk', 'cs_bill_cdemo_sk']
384 602021888 # ['cs_bill_customer_sk', 'cs_bill_hdemo_sk']
385 602021888 # ['cs_bill_customer_sk', 'cs_call_center_sk']
386 602021888 # ['cs_bill_customer_sk', 'cs_catalog_page_sk']
387 583213056 # ['cs_bill_customer_sk', 'cs_coupon_amt']
388 639655936 # ['cs_bill_customer_sk', 'cs_ext_discount_amt']
389 658464768 # ['cs_bill_customer_sk', 'cs_ext_list_price']
390 639655936 # ['cs_bill_customer_sk', 'cs_ext_sales_price']
391 639655936 # ['cs_bill_customer_sk', 'cs_ext_ship_cost']
392 639655936 # ['cs_bill_customer_sk', 'cs_ext_wholesale_cost']
393 602021888 # ['cs_bill_customer_sk', 'cs_item_sk']
394 639655936 # ['cs_bill_customer_sk', 'cs_list_price']
395 639655936 # ['cs_bill_customer_sk', 'cs_net_paid']
396 639655936 # ['cs_bill_customer_sk', 'cs_net_profit']
397 602021888 # ['cs_bill_customer_sk', 'cs_order_number']
398 602021888 # ['cs_bill_customer_sk', 'cs_promo_sk']
399 602021888 # ['cs_bill_customer_sk', 'cs_quantity']
400 639655936 # ['cs_bill_customer_sk', 'cs_sales_price']
401 602021888 # ['cs_bill_customer_sk', 'cs_ship_addr_sk']
402 602021888 # ['cs_bill_customer_sk', 'cs_ship_customer_sk']
403 602021888 # ['cs_bill_customer_sk', 'cs_ship_date_sk']
404 602021888 # ['cs_bill_customer_sk', 'cs_ship_mode_sk']
405 602021888 # ['cs_bill_customer_sk', 'cs_sold_date_sk']
406 602021888 # ['cs_bill_customer_sk', 'cs_sold_time_sk']
407 602021888 # ['cs_bill_customer_sk', 'cs_warehouse_sk']
408 639655936 # ['cs_bill_customer_sk', 'cs_wholesale_cost']
409 602021888 # ['cs_bill_hdemo_sk', 'cs_bill_customer_sk']
410 602021888 # ['cs_bill_hdemo_sk', 'cs_item_sk']
411 602021888 # ['cs_bill_hdemo_sk', 'cs_order_number']
412 602021888 # ['cs_bill_hdemo_sk', 'cs_ship_customer_sk']
413 602021888 # ['cs_bill_hdemo_sk', 'cs_sold_date_sk']
414 602021888 # ['cs_call_center_sk', 'cs_bill_customer_sk']
415 602021888 # ['cs_call_center_sk', 'cs_item_sk']
416 602021888 # ['cs_call_center_sk', 'cs_order_number']
417 602021888 # ['cs_call_center_sk', 'cs_ship_customer_sk']
418 602021888 # ['cs_call_center_sk', 'cs_sold_date_sk']
419 602021888 # ['cs_catalog_page_sk', 'cs_bill_customer_sk']
420 602021888 # ['cs_catalog_page_sk', 'cs_item_sk']
421 602021888 # ['cs_catalog_page_sk', 'cs_order_number']
422 602021888 # ['cs_catalog_page_sk', 'cs_ship_customer_sk']
423 602021888 # ['cs_catalog_page_sk', 'cs_sold_date_sk']
424 583213056 # ['cs_coupon_amt', 'cs_bill_customer_sk']
425 583213056 # ['cs_coupon_amt', 'cs_item_sk']
426 583213056 # ['cs_coupon_amt', 'cs_order_number']
427 583213056 # ['cs_coupon_amt', 'cs_ship_customer_sk']
428 583213056 # ['cs_coupon_amt', 'cs_sold_date_sk']
429 639655936 # ['cs_ext_discount_amt', 'cs_bill_customer_sk']
430 639655936 # ['cs_ext_discount_amt', 'cs_item_sk']
431 639655936 # ['cs_ext_discount_amt', 'cs_order_number']
432 639655936 # ['cs_ext_discount_amt', 'cs_ship_customer_sk']
433 639655936 # ['cs_ext_discount_amt', 'cs_sold_date_sk']
434 658464768 # ['cs_ext_list_price', 'cs_bill_customer_sk']
435 658464768 # ['cs_ext_list_price', 'cs_item_sk']
436 658464768 # ['cs_ext_list_price', 'cs_order_number']
437 658464768 # ['cs_ext_list_price', 'cs_ship_customer_sk']
438 658464768 # ['cs_ext_list_price', 'cs_sold_date_sk']
439 639655936 # ['cs_ext_sales_price', 'cs_bill_customer_sk']
440 639655936 # ['cs_ext_sales_price', 'cs_item_sk']
441 639655936 # ['cs_ext_sales_price', 'cs_order_number']
442 639655936 # ['cs_ext_sales_price', 'cs_ship_customer_sk']
443 639655936 # ['cs_ext_sales_price', 'cs_sold_date_sk']
444 639655936 # ['cs_ext_ship_cost', 'cs_bill_customer_sk']
445 639655936 # ['cs_ext_ship_cost', 'cs_item_sk']
446 639655936 # ['cs_ext_ship_cost', 'cs_order_number']
447 639655936 # ['cs_ext_ship_cost', 'cs_ship_customer_sk']
448 639655936 # ['cs_ext_ship_cost', 'cs_sold_date_sk']
449 639655936 # ['cs_ext_wholesale_cost', 'cs_bill_customer_sk']
450 639655936 # ['cs_ext_wholesale_cost', 'cs_item_sk']
451 639655936 # ['cs_ext_wholesale_cost', 'cs_order_number']
452 639655936 # ['cs_ext_wholesale_cost', 'cs_ship_customer_sk']
453 639655936 # ['cs_ext_wholesale_cost', 'cs_sold_date_sk']
454 602021888 # ['cs_item_sk', 'cs_bill_addr_sk']
455 602021888 # ['cs_item_sk', 'cs_bill_cdemo_sk']
456 602021888 # ['cs_item_sk', 'cs_bill_customer_sk']
457 602021888 # ['cs_item_sk', 'cs_bill_hdemo_sk']
458 602021888 # ['cs_item_sk', 'cs_call_center_sk']
459 602021888 # ['cs_item_sk', 'cs_catalog_page_sk']
460 583213056 # ['cs_item_sk', 'cs_coupon_amt']
461 639655936 # ['cs_item_sk', 'cs_ext_discount_amt']
462 658464768 # ['cs_item_sk', 'cs_ext_list_price']
463 639655936 # ['cs_item_sk', 'cs_ext_sales_price']
464 639655936 # ['cs_item_sk', 'cs_ext_ship_cost']
465 639655936 # ['cs_item_sk', 'cs_ext_wholesale_cost']
466 639655936 # ['cs_item_sk', 'cs_list_price']
467 639655936 # ['cs_item_sk', 'cs_net_paid']
468 639655936 # ['cs_item_sk', 'cs_net_profit']
469 602021888 # ['cs_item_sk', 'cs_order_number']
470 602021888 # ['cs_item_sk', 'cs_promo_sk']
471 602021888 # ['cs_item_sk', 'cs_quantity']
472 639655936 # ['cs_item_sk', 'cs_sales_price']
473 602021888 # ['cs_item_sk', 'cs_ship_addr_sk']
474 602021888 # ['cs_item_sk', 'cs_ship_customer_sk']
475 602021888 # ['cs_item_sk', 'cs_ship_date_sk']
476 602021888 # ['cs_item_sk', 'cs_ship_mode_sk']
477 602021888 # ['cs_item_sk', 'cs_sold_date_sk']
478 602021888 # ['cs_item_sk', 'cs_sold_time_sk']
479 602021888 # ['cs_item_sk', 'cs_warehouse_sk']
480 639655936 # ['cs_item_sk', 'cs_wholesale_cost']
481 639655936 # ['cs_list_price', 'cs_bill_customer_sk']
482 639655936 # ['cs_list_price', 'cs_item_sk']
483 639655936 # ['cs_list_price', 'cs_order_number']
484 639655936 # ['cs_list_price', 'cs_ship_customer_sk']
485 639655936 # ['cs_list_price', 'cs_sold_date_sk']
