#53
#870
# what-if time: 2.3870980739593506
# cost_requests: 31504	cache_hits: 29997
data;

set QUERIES :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;

param a :=
set combi[20]:= 29;
set combi[21]:= 10 42;
set combi[22]:= 10 4;
set combi[23]:= 10 51;
set combi[24]:= 10 13;
set combi[25]:= 10 1;
set combi[26]:= 10 40;
set combi[27]:= 10 27;
set combi[28]:= 10 38;
set combi[29]:= 10 35;
set combi[30]:= 10 53;
set combi[31]:= 10 15;
set combi[32]:= 10 21;
set combi[33]:= 10 18;
set combi[34]:= 10 14;
set combi[35]:= 10 39;
set combi[36]:= 10 44;
set combi[37]:= 10 34;
set combi[38]:= 10 43;
set combi[39]:= 10 37;
set combi[40]:= 10 29;
set combi[41]:= 42 48;
set combi[42]:= 42 2;
set combi[43]:= 42 9;
set combi[44]:= 42 46;
set combi[45]:= 42 41;
set combi[46]:= 42 20;
set combi[47]:= 42 45;
set combi[48]:= 42 4;
set combi[49]:= 42 51;
set combi[50]:= 42 7;
set combi[51]:= 42 6;
set combi[52]:= 42 52;
set combi[53]:= 42 13;
set combi[54]:= 42 32;
set combi[55]:= 42 25;
set combi[56]:= 42 1;
set combi[57]:= 42 40;
set combi[58]:= 42 27;
set combi[59]:= 42 38;
set combi[60]:= 42 35;
set combi[61]:= 42 16;
set combi[62]:= 42 24;
set combi[63]:= 42 22;
set combi[64]:= 42 53;
set combi[65]:= 42 15;
set combi[66]:= 42 33;
set combi[67]:= 42 21;
set combi[68]:= 42 18;
set combi[69]:= 42 14;
set combi[70]:= 42 39;
set combi[71]:= 42 44;
set combi[72]:= 42 19;
set combi[73]:= 42 49;
set combi[74]:= 42 26;
set combi[75]:= 42 3;
set combi[76]:= 42 12;
set combi[77]:= 42 47;
set combi[78]:= 42 34;
set combi[79]:= 42 8;
set combi[80]:= 42 30;
set combi[81]:= 42 50;
set combi[82]:= 42 43;
set combi[83]:= 42 37;
set combi[84]:= 42 17;
set combi[85]:= 42 28;
set combi[86]:= 42 29;
set combi[87]:= 42 11;
set combi[88]:= 42 23;
set combi[89]:= 42 5;
set combi[90]:= 42 31;
set combi[91]:= 42 36;
set combi[92]:= 48 4;
set combi[93]:= 48 51;
set combi[94]:= 48 13;
set combi[95]:= 48 1;
set combi[96]:= 48 40;
set combi[97]:= 48 27;
set combi[98]:= 48 38;
set combi[99]:= 48 35;
set combi[100]:= 48 53;
set combi[101]:= 48 15;
set combi[102]:= 48 21;
set combi[103]:= 48 18;
set combi[104]:= 48 14;
set combi[105]:= 48 39;
set combi[106]:= 48 44;
set combi[107]:= 48 34;
set combi[108]:= 48 43;
set combi[109]:= 48 37;
set combi[110]:= 48 29;
set combi[111]:= 2 4;
set combi[112]:= 2 51;
set combi[113]:= 2 13;
set combi[114]:= 2 1;
set combi[115]:= 2 40;
set combi[116]:= 2 27;
set combi[117]:= 2 38;
set combi[118]:= 2 35;
set combi[119]:= 2 53;
set combi[120]:= 2 15;
set combi[121]:= 2 21;
set combi[122]:= 2 18;
set combi[123]:= 2 14;
set combi[124]:= 2 39;
set combi[125]:= 2 44;
set combi[126]:= 2 34;
set combi[127]:= 2 43;
set combi[128]:= 2 37;
set combi[129]:= 2 29;
set combi[130]:= 9 4;
set combi[131]:= 9 51;
set combi[132]:= 9 13;
set combi[133]:= 9 1;
set combi[134]:= 9 40;
set combi[135]:= 9 27;
set combi[136]:= 9 38;
set combi[137]:= 9 35;
set combi[138]:= 9 53;
set combi[139]:= 9 15;
set combi[140]:= 9 21;
set combi[141]:= 9 18;
set combi[142]:= 9 14;
set combi[143]:= 9 39;
set combi[144]:= 9 44;
set combi[145]:= 9 34;
set combi[146]:= 9 43;
set combi[147]:= 9 37;
set combi[148]:= 9 29;
set combi[149]:= 46 4;
set combi[150]:= 46 51;
set combi[151]:= 46 13;
set combi[152]:= 46 1;
set combi[153]:= 46 40;
set combi[154]:= 46 27;
set combi[155]:= 46 38;
set combi[156]:= 46 35;
set combi[157]:= 46 53;
set combi[158]:= 46 15;
set combi[159]:= 46 21;
set combi[160]:= 46 18;
set combi[161]:= 46 14;
set combi[162]:= 46 39;
set combi[163]:= 46 44;
set combi[164]:= 46 34;
set combi[165]:= 46 43;
set combi[166]:= 46 37;
set combi[167]:= 46 29;
set combi[168]:= 41 4;
set combi[169]:= 41 51;
set combi[170]:= 41 13;
set combi[171]:= 41 1;
set combi[172]:= 41 40;
set combi[173]:= 41 27;
set combi[174]:= 41 38;
set combi[175]:= 41 35;
set combi[176]:= 41 53;
set combi[177]:= 41 15;
set combi[178]:= 41 21;
set combi[179]:= 41 18;
set combi[180]:= 41 14;
set combi[181]:= 41 39;
set combi[182]:= 41 44;
set combi[183]:= 41 34;
set combi[184]:= 41 43;
set combi[185]:= 41 37;
set combi[186]:= 41 29;
set combi[187]:= 20 4;
set combi[188]:= 20 51;
set combi[189]:= 20 13;
set combi[190]:= 20 1;
set combi[191]:= 20 40;
set combi[192]:= 20 27;
set combi[193]:= 20 38;
set combi[194]:= 20 35;
set combi[195]:= 20 53;
set combi[196]:= 20 15;
set combi[197]:= 20 21;
set combi[198]:= 20 18;
set combi[199]:= 20 14;
set combi[200]:= 20 39;
set combi[201]:= 20 44;
set combi[202]:= 20 34;
set combi[203]:= 20 43;
set combi[204]:= 20 37;
set combi[205]:= 20 29;
set combi[206]:= 45 4;
set combi[207]:= 45 51;
set combi[208]:= 45 13;
set combi[209]:= 45 1;
set combi[210]:= 45 40;
set combi[211]:= 45 27;
set combi[212]:= 45 38;
set combi[213]:= 45 35;
set combi[214]:= 45 53;
set combi[215]:= 45 15;
set combi[216]:= 45 21;
set combi[217]:= 45 18;
set combi[218]:= 45 14;
set combi[219]:= 45 39;
set combi[220]:= 45 44;
set combi[221]:= 45 34;
set combi[222]:= 45 43;
set combi[223]:= 45 37;
set combi[224]:= 45 29;
set combi[225]:= 4 51;
set combi[226]:= 4 7;
set combi[227]:= 4 6;
set combi[228]:= 4 52;
set combi[229]:= 4 13;
set combi[230]:= 4 32;
set combi[231]:= 4 25;
set combi[232]:= 4 1;
set combi[233]:= 4 40;
set combi[234]:= 4 27;
set combi[235]:= 4 38;
set combi[236]:= 4 35;
set combi[237]:= 4 16;
set combi[238]:= 4 24;
set combi[239]:= 4 22;
set combi[240]:= 4 53;
set combi[241]:= 4 15;
set combi[242]:= 4 33;
set combi[243]:= 4 21;
set combi[244]:= 4 18;
set combi[245]:= 4 14;
set combi[246]:= 4 39;
set combi[247]:= 4 44;
set combi[248]:= 4 19;
set combi[249]:= 4 49;
set combi[250]:= 4 26;
set combi[251]:= 4 3;
set combi[252]:= 4 12;
set combi[253]:= 4 47;
set combi[254]:= 4 34;
set combi[255]:= 4 8;
set combi[256]:= 4 30;
set combi[257]:= 4 50;
set combi[258]:= 4 43;
set combi[259]:= 4 37;
set combi[260]:= 4 17;
set combi[261]:= 4 28;
set combi[262]:= 4 29;
set combi[263]:= 4 11;
set combi[264]:= 4 23;
set combi[265]:= 4 5;
set combi[266]:= 4 31;
set combi[267]:= 4 36;
set combi[268]:= 51 7;
set combi[269]:= 51 6;
set combi[270]:= 51 52;
set combi[271]:= 51 13;
set combi[272]:= 51 32;
set combi[273]:= 51 25;
set combi[274]:= 51 1;
set combi[275]:= 51 40;
set combi[276]:= 51 27;
set combi[277]:= 51 38;
set combi[278]:= 51 35;
set combi[279]:= 51 16;
set combi[280]:= 51 24;
set combi[281]:= 51 22;
set combi[282]:= 51 53;
set combi[283]:= 51 15;
set combi[284]:= 51 33;
set combi[285]:= 51 21;
set combi[286]:= 51 18;
set combi[287]:= 51 14;
set combi[288]:= 51 39;
set combi[289]:= 51 44;
set combi[290]:= 51 19;
set combi[291]:= 51 49;
set combi[292]:= 51 26;
set combi[293]:= 51 3;
set combi[294]:= 51 12;
set combi[295]:= 51 47;
set combi[296]:= 51 34;
set combi[297]:= 51 8;
set combi[298]:= 51 30;
set combi[299]:= 51 50;
set combi[300]:= 51 43;
set combi[301]:= 51 37;
set combi[302]:= 51 17;
set combi[303]:= 51 28;
set combi[304]:= 51 29;
set combi[305]:= 51 11;
set combi[306]:= 51 23;
set combi[307]:= 51 5;
set combi[308]:= 51 31;
set combi[309]:= 51 36;
set combi[310]:= 7 13;
set combi[311]:= 7 1;
set combi[312]:= 7 40;
set combi[313]:= 7 27;
set combi[314]:= 7 38;
set combi[315]:= 7 35;
set combi[316]:= 7 53;
set combi[317]:= 7 15;
set combi[318]:= 7 21;
set combi[319]:= 7 18;
set combi[320]:= 7 14;
set combi[321]:= 7 39;
set combi[322]:= 7 44;
set combi[323]:= 7 34;
set combi[324]:= 7 43;
set combi[325]:= 7 37;
set combi[326]:= 7 29;
set combi[327]:= 6 13;
set combi[328]:= 6 1;
set combi[329]:= 6 40;
set combi[330]:= 6 27;
set combi[331]:= 6 38;
set combi[332]:= 6 35;
set combi[333]:= 6 53;
set combi[334]:= 6 15;
set combi[335]:= 6 21;
set combi[336]:= 6 18;
set combi[337]:= 6 14;
set combi[338]:= 6 39;
set combi[339]:= 6 44;
set combi[340]:= 6 34;
set combi[341]:= 6 43;
set combi[342]:= 6 37;
set combi[343]:= 6 29;
set combi[344]:= 52 13;
set combi[345]:= 52 1;
set combi[346]:= 52 40;
set combi[347]:= 52 27;
set combi[348]:= 52 38;
set combi[349]:= 52 35;
set combi[350]:= 52 53;
set combi[351]:= 52 15;
set combi[352]:= 52 21;
set combi[353]:= 52 18;
set combi[354]:= 52 14;
set combi[355]:= 52 39;
set combi[356]:= 52 44;
set combi[357]:= 52 34;
set combi[358]:= 52 43;
set combi[359]:= 52 37;
set combi[360]:= 52 29;
set combi[361]:= 13 32;
set combi[362]:= 13 25;
set combi[363]:= 13 1;
set combi[364]:= 13 40;
set combi[365]:= 13 27;
set combi[366]:= 13 38;
set combi[367]:= 13 35;
set combi[368]:= 13 16;
set combi[369]:= 13 24;
set combi[370]:= 13 22;
set combi[371]:= 13 53;
set combi[372]:= 13 15;
set combi[373]:= 13 33;
set combi[374]:= 13 21;
set combi[375]:= 13 18;
set combi[376]:= 13 14;
set combi[377]:= 13 39;
set combi[378]:= 13 44;
set combi[379]:= 13 19;
set combi[380]:= 13 49;
set combi[381]:= 13 26;
set combi[382]:= 13 3;
set combi[383]:= 13 12;
set combi[384]:= 13 47;
set combi[385]:= 13 34;
set combi[386]:= 13 8;
set combi[387]:= 13 30;
set combi[388]:= 13 50;
set combi[389]:= 13 43;
set combi[390]:= 13 37;
set combi[391]:= 13 17;
set combi[392]:= 13 28;
set combi[393]:= 13 29;
set combi[394]:= 13 11;
set combi[395]:= 13 23;
set combi[396]:= 13 5;
set combi[397]:= 13 31;
set combi[398]:= 13 36;
set combi[399]:= 32 1;
set combi[400]:= 32 40;
set combi[401]:= 32 27;
set combi[402]:= 32 38;
set combi[403]:= 32 35;
set combi[404]:= 32 53;
set combi[405]:= 32 15;
set combi[406]:= 32 21;
set combi[407]:= 32 18;
set combi[408]:= 32 14;
set combi[409]:= 32 39;
set combi[410]:= 32 44;
set combi[411]:= 32 34;
set combi[412]:= 32 43;
set combi[413]:= 32 37;
set combi[414]:= 32 29;
set combi[415]:= 25 1;
set combi[416]:= 25 40;
set combi[417]:= 25 27;
set combi[418]:= 25 38;
set combi[419]:= 25 35;
set combi[420]:= 25 53;
set combi[421]:= 25 15;
set combi[422]:= 25 21;
set combi[423]:= 25 18;
set combi[424]:= 25 14;
set combi[425]:= 25 39;
set combi[426]:= 25 44;
set combi[427]:= 25 34;
set combi[428]:= 25 43;
set combi[429]:= 25 37;
set combi[430]:= 25 29;
set combi[431]:= 1 40;
set combi[432]:= 1 27;
set combi[433]:= 1 38;
set combi[434]:= 1 35;
set combi[435]:= 1 16;
set combi[436]:= 1 24;
set combi[437]:= 1 22;
set combi[438]:= 1 53;
set combi[439]:= 1 15;
set combi[440]:= 1 33;
set combi[441]:= 1 21;
set combi[442]:= 1 18;
set combi[443]:= 1 14;
set combi[444]:= 1 39;
set combi[445]:= 1 44;
set combi[446]:= 1 19;
set combi[447]:= 1 49;
set combi[448]:= 1 26;
set combi[449]:= 1 3;
set combi[450]:= 1 12;
set combi[451]:= 1 47;
set combi[452]:= 1 34;
set combi[453]:= 1 8;
set combi[454]:= 1 30;
set combi[455]:= 1 50;
set combi[456]:= 1 43;
set combi[457]:= 1 37;
set combi[458]:= 1 17;
set combi[459]:= 1 28;
set combi[460]:= 1 29;
set combi[461]:= 1 11;
set combi[462]:= 1 23;
set combi[463]:= 1 5;
set combi[464]:= 1 31;
set combi[465]:= 1 36;
set combi[466]:= 40 27;
set combi[467]:= 40 38;
set combi[468]:= 40 35;
set combi[469]:= 40 16;
set combi[470]:= 40 24;
set combi[471]:= 40 22;
set combi[472]:= 40 53;
set combi[473]:= 40 15;
set combi[474]:= 40 33;
set combi[475]:= 40 21;
set combi[476]:= 40 18;
set combi[477]:= 40 14;
set combi[478]:= 40 39;
set combi[479]:= 40 44;
set combi[480]:= 40 19;
set combi[481]:= 40 49;
set combi[482]:= 40 26;
set combi[483]:= 40 3;
set combi[484]:= 40 12;
set combi[485]:= 40 47;
set combi[486]:= 40 34;
set combi[487]:= 40 8;
set combi[488]:= 40 30;
set combi[489]:= 40 50;
set combi[490]:= 40 43;
set combi[491]:= 40 37;
set combi[492]:= 40 17;
set combi[493]:= 40 28;
set combi[494]:= 40 29;
set combi[495]:= 40 11;
set combi[496]:= 40 23;
set combi[497]:= 40 5;
set combi[498]:= 40 31;
set combi[499]:= 40 36;
set combi[500]:= 27 38;
set combi[501]:= 27 35;
set combi[502]:= 27 16;
set combi[503]:= 27 24;
set combi[504]:= 27 22;
set combi[505]:= 27 53;
set combi[506]:= 27 15;
set combi[507]:= 27 33;
set combi[508]:= 27 21;
set combi[509]:= 27 18;
set combi[510]:= 27 14;
set combi[511]:= 27 39;
set combi[512]:= 27 44;
set combi[513]:= 27 19;
set combi[514]:= 27 49;
set combi[515]:= 27 26;
set combi[516]:= 27 3;
set combi[517]:= 27 12;
set combi[518]:= 27 47;
set combi[519]:= 27 34;
set combi[520]:= 27 8;
set combi[521]:= 27 30;
set combi[522]:= 27 50;
set combi[523]:= 27 43;
set combi[524]:= 27 37;
set combi[525]:= 27 17;
set combi[526]:= 27 28;
set combi[527]:= 27 29;
set combi[528]:= 27 11;
set combi[529]:= 27 23;
set combi[530]:= 27 5;
set combi[531]:= 27 31;
set combi[532]:= 27 36;
set combi[533]:= 38 35;
set combi[534]:= 38 16;
set combi[535]:= 38 24;
set combi[536]:= 38 22;
set combi[537]:= 38 53;
set combi[538]:= 38 15;
set combi[539]:= 38 33;
set combi[540]:= 38 21;
set combi[541]:= 38 18;
set combi[542]:= 38 14;
set combi[543]:= 38 39;
set combi[544]:= 38 44;
set combi[545]:= 38 19;
set combi[546]:= 38 49;
set combi[547]:= 38 26;
set combi[548]:= 38 3;
set combi[549]:= 38 12;
set combi[550]:= 38 47;
set combi[551]:= 38 34;
set combi[552]:= 38 8;
set combi[553]:= 38 30;
set combi[554]:= 38 50;
set combi[555]:= 38 43;
set combi[556]:= 38 37;
set combi[557]:= 38 17;
set combi[558]:= 38 28;
set combi[559]:= 38 29;
set combi[560]:= 38 11;
set combi[561]:= 38 23;
set combi[562]:= 38 5;
set combi[563]:= 38 31;
set combi[564]:= 38 36;
set combi[565]:= 35 16;
set combi[566]:= 35 24;
set combi[567]:= 35 22;
set combi[568]:= 35 53;
set combi[569]:= 35 15;
set combi[570]:= 35 33;
set combi[571]:= 35 21;
set combi[572]:= 35 18;
set combi[573]:= 35 14;
set combi[574]:= 35 39;
set combi[575]:= 35 44;
set combi[576]:= 35 19;
set combi[577]:= 35 49;
set combi[578]:= 35 26;
set combi[579]:= 35 3;
set combi[580]:= 35 12;
set combi[581]:= 35 47;
set combi[582]:= 35 34;
set combi[583]:= 35 8;
set combi[584]:= 35 30;
set combi[585]:= 35 50;
set combi[586]:= 35 43;
set combi[587]:= 35 37;
set combi[588]:= 35 17;
set combi[589]:= 35 28;
set combi[590]:= 35 29;
set combi[591]:= 35 11;
set combi[592]:= 35 23;
set combi[593]:= 35 5;
set combi[594]:= 35 31;
set combi[595]:= 35 36;
set combi[596]:= 16 53;
set combi[597]:= 16 15;
set combi[598]:= 16 21;
set combi[599]:= 16 18;
set combi[600]:= 16 14;
set combi[601]:= 16 39;
set combi[602]:= 16 44;
set combi[603]:= 16 34;
set combi[604]:= 16 43;
set combi[605]:= 16 37;
set combi[606]:= 16 29;
set combi[607]:= 24 53;
set combi[608]:= 24 15;
set combi[609]:= 24 21;
set combi[610]:= 24 18;
set combi[611]:= 24 14;
set combi[612]:= 24 39;
set combi[613]:= 24 44;
set combi[614]:= 24 34;
set combi[615]:= 24 43;
set combi[616]:= 24 37;
set combi[617]:= 24 29;
set combi[618]:= 22 53;
set combi[619]:= 22 15;
set combi[620]:= 22 21;
set combi[621]:= 22 18;
set combi[622]:= 22 14;
set combi[623]:= 22 39;
set combi[624]:= 22 44;
set combi[625]:= 22 34;
set combi[626]:= 22 43;
set combi[627]:= 22 37;
set combi[628]:= 22 29;
set combi[629]:= 53 15;
set combi[630]:= 53 33;
set combi[631]:= 53 21;
set combi[632]:= 53 18;
set combi[633]:= 53 14;
set combi[634]:= 53 39;
set combi[635]:= 53 44;
set combi[636]:= 53 19;
set combi[637]:= 53 49;
set combi[638]:= 53 26;
set combi[639]:= 53 3;
set combi[640]:= 53 12;
set combi[641]:= 53 47;
set combi[642]:= 53 34;
set combi[643]:= 53 8;
set combi[644]:= 53 30;
set combi[645]:= 53 50;
set combi[646]:= 53 43;
set combi[647]:= 53 37;
set combi[648]:= 53 17;
set combi[649]:= 53 28;
set combi[650]:= 53 29;
set combi[651]:= 53 11;
set combi[652]:= 53 23;
set combi[653]:= 53 5;
set combi[654]:= 53 31;
set combi[655]:= 53 36;
set combi[656]:= 15 33;
set combi[657]:= 15 21;
set combi[658]:= 15 18;
set combi[659]:= 15 14;
set combi[660]:= 15 39;
set combi[661]:= 15 44;
set combi[662]:= 15 19;
set combi[663]:= 15 49;
set combi[664]:= 15 26;
set combi[665]:= 15 3;
set combi[666]:= 15 12;
set combi[667]:= 15 47;
set combi[668]:= 15 34;
set combi[669]:= 15 8;
set combi[670]:= 15 30;
set combi[671]:= 15 50;
set combi[672]:= 15 43;
set combi[673]:= 15 37;
set combi[674]:= 15 17;
set combi[675]:= 15 28;
set combi[676]:= 15 29;
set combi[677]:= 15 11;
set combi[678]:= 15 23;
set combi[679]:= 15 5;
set combi[680]:= 15 31;
set combi[681]:= 15 36;
set combi[682]:= 33 21;
set combi[683]:= 33 18;
set combi[684]:= 33 14;
set combi[685]:= 33 39;
set combi[686]:= 33 44;
set combi[687]:= 33 34;
set combi[688]:= 33 43;
set combi[689]:= 33 37;
set combi[690]:= 33 29;
set combi[691]:= 21 18;
set combi[692]:= 21 14;
set combi[693]:= 21 39;
set combi[694]:= 21 44;
set combi[695]:= 21 19;
set combi[696]:= 21 49;
set combi[697]:= 21 26;
set combi[698]:= 21 3;
set combi[699]:= 21 12;
set combi[700]:= 21 47;
set combi[701]:= 21 34;
set combi[702]:= 21 8;
set combi[703]:= 21 30;
set combi[704]:= 21 50;
set combi[705]:= 21 43;
set combi[706]:= 21 37;
set combi[707]:= 21 17;
set combi[708]:= 21 28;
set combi[709]:= 21 29;
set combi[710]:= 21 11;
set combi[711]:= 21 23;
set combi[712]:= 21 5;
set combi[713]:= 21 31;
set combi[714]:= 21 36;
set combi[715]:= 18 14;
set combi[716]:= 18 39;
set combi[717]:= 18 44;
set combi[718]:= 18 19;
set combi[719]:= 18 49;
set combi[720]:= 18 26;
set combi[721]:= 18 3;
set combi[722]:= 18 12;
set combi[723]:= 18 47;
set combi[724]:= 18 34;
set combi[725]:= 18 8;
set combi[726]:= 18 30;
set combi[727]:= 18 50;
set combi[728]:= 18 43;
set combi[729]:= 18 37;
set combi[730]:= 18 17;
set combi[731]:= 18 28;
set combi[732]:= 18 29;
set combi[733]:= 18 11;
set combi[734]:= 18 23;
set combi[735]:= 18 5;
set combi[736]:= 18 31;
set combi[737]:= 18 36;
set combi[738]:= 14 39;
set combi[739]:= 14 44;
set combi[740]:= 14 19;
set combi[741]:= 14 49;
set combi[742]:= 14 26;
set combi[743]:= 14 3;
set combi[744]:= 14 12;
set combi[745]:= 14 47;
set combi[746]:= 14 34;
set combi[747]:= 14 8;
set combi[748]:= 14 30;
set combi[749]:= 14 50;
set combi[750]:= 14 43;
set combi[751]:= 14 37;
set combi[752]:= 14 17;
set combi[753]:= 14 28;
set combi[754]:= 14 29;
set combi[755]:= 14 11;
set combi[756]:= 14 23;
set combi[757]:= 14 5;
set combi[758]:= 14 31;
set combi[759]:= 14 36;
set combi[760]:= 39 44;
set combi[761]:= 39 19;
set combi[762]:= 39 49;
set combi[763]:= 39 26;
set combi[764]:= 39 3;
set combi[765]:= 39 12;
set combi[766]:= 39 47;
set combi[767]:= 39 34;
set combi[768]:= 39 8;
set combi[769]:= 39 30;
set combi[770]:= 39 50;
set combi[771]:= 39 43;
set combi[772]:= 39 37;
set combi[773]:= 39 17;
set combi[774]:= 39 28;
set combi[775]:= 39 29;
set combi[776]:= 39 11;
set combi[777]:= 39 23;
set combi[778]:= 39 5;
set combi[779]:= 39 31;
set combi[780]:= 39 36;
set combi[781]:= 44 19;
set combi[782]:= 44 49;
set combi[783]:= 44 26;
set combi[784]:= 44 3;
set combi[785]:= 44 12;
set combi[786]:= 44 47;
set combi[787]:= 44 34;
set combi[788]:= 44 8;
set combi[789]:= 44 30;
set combi[790]:= 44 50;
set combi[791]:= 44 43;
set combi[792]:= 44 37;
set combi[793]:= 44 17;
set combi[794]:= 44 28;
set combi[795]:= 44 29;
set combi[796]:= 44 11;
set combi[797]:= 44 23;
set combi[798]:= 44 5;
set combi[799]:= 44 31;
set combi[800]:= 44 36;
set combi[801]:= 19 34;
set combi[802]:= 19 43;
set combi[803]:= 19 37;
set combi[804]:= 19 29;
set combi[805]:= 49 34;
set combi[806]:= 49 43;
set combi[807]:= 49 37;
set combi[808]:= 49 29;
set combi[809]:= 26 34;
set combi[810]:= 26 43;
set combi[811]:= 26 37;
set combi[812]:= 26 29;
set combi[813]:= 3 34;
set combi[814]:= 3 43;
set combi[815]:= 3 37;
set combi[816]:= 3 29;
set combi[817]:= 12 34;
set combi[818]:= 12 43;
set combi[819]:= 12 37;
set combi[820]:= 12 29;
set combi[821]:= 47 34;
set combi[822]:= 47 43;
set combi[823]:= 47 37;
set combi[824]:= 47 29;
set combi[825]:= 34 8;
set combi[826]:= 34 30;
set combi[827]:= 34 50;
set combi[828]:= 34 43;
set combi[829]:= 34 37;
set combi[830]:= 34 17;
set combi[831]:= 34 28;
set combi[832]:= 34 29;
set combi[833]:= 34 11;
set combi[834]:= 34 23;
set combi[835]:= 34 5;
set combi[836]:= 34 31;
set combi[837]:= 34 36;
set combi[838]:= 8 43;
set combi[839]:= 8 37;
set combi[840]:= 8 29;
set combi[841]:= 30 43;
set combi[842]:= 30 37;
set combi[843]:= 30 29;
set combi[844]:= 50 43;
set combi[845]:= 50 37;
set combi[846]:= 50 29;
set combi[847]:= 43 37;
set combi[848]:= 43 17;
set combi[849]:= 43 28;
set combi[850]:= 43 29;
set combi[851]:= 43 11;
set combi[852]:= 43 23;
set combi[853]:= 43 5;
set combi[854]:= 43 31;
set combi[855]:= 43 36;
set combi[856]:= 37 17;
set combi[857]:= 37 28;
set combi[858]:= 37 29;
set combi[859]:= 37 11;
set combi[860]:= 37 23;
set combi[861]:= 37 5;
set combi[862]:= 37 31;
set combi[863]:= 37 36;
set combi[864]:= 17 29;
set combi[865]:= 28 29;
set combi[866]:= 29 11;
set combi[867]:= 29 23;
set combi[868]:= 29 5;
set combi[869]:= 29 31;
set combi[870]:= 29 36;

param f4 :=
1 0 2300083.18
2 0 3049685613.53
2 1 44929731.76
2 3 3033250383.71
2 8 1592927926.32
2 10 3007002224.41
2 16 2033549724.58
2 18 2149743228.18
2 21 44929731.76
2 23 3033250383.71
2 28 1592927926.32
2 30 3007002224.41
2 36 2033549724.58
2 38 2149743228.18
2 41 44929731.76
2 42 44929731.76
2 43 44929731.76
2 44 44929731.76
2 45 44929731.76
2 46 44929731.76
2 47 44929731.76
2 48 44929731.76
2 49 28494501.94
2 50 44929731.76
2 51 44929731.76
2 52 44929731.76
2 53 44929731.76
2 54 44929731.76
2 55 44929731.76
2 56 44929731.76
2 57 44929731.76
2 58 44929731.76
2 59 24084011.61
2 60 44929731.76
2 61 44929731.76
2 62 44929731.76
2 63 44929731.76
2 64 2189545.43
2 65 44929731.76
2 66 44929731.76
2 67 44929731.76
2 68 44929731.76
2 69 44929731.76
2 70 44929731.76
2 71 30394906.68
2 72 44929731.76
2 73 44929731.76
2 74 44929731.76
2 75 44929731.76
2 76 44929731.76
2 77 44929731.76
2 78 44929731.76
2 79 44929731.76
2 80 44929731.76
2 81 44929731.76
2 82 44756400.79
2 83 44929731.76
2 84 44929731.76
2 85 44929731.76
2 86 44929731.76
2 87 44929731.76
2 88 44929731.76
2 89 44929731.76
2 90 44929731.76
2 91 44929731.76
2 93 3033250383.71
2 98 1592927926.32
2 100 3007002224.41
2 106 2033549724.58
2 108 2149743228.18
2 112 3033250383.71
2 117 1592927926.32
2 119 3007002224.41
