#425
#41373
# what-if time: 276.9609661102295
# cost_requests: 1719994	cache_hits: 1503891
data;

set QUERIES :=  1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 21 22;

param a :=
1 43106304 # ['c_acctbal']
2 80330752 # ['c_address']
3 174383104 # ['c_comment']
4 39182336 # ['c_custkey']
5 52895744 # ['c_mktsegment']
6 68575232 # ['c_name']
7 39182336 # ['c_nationkey']
8 62693376 # ['c_phone']
9 1567334400 # ['l_commitdate']
10 1567334400 # ['l_discount']
11 1880809472 # ['l_extendedprice']
12 1410605056 # ['l_linestatus']
13 1567334400 # ['l_orderkey']
14 1567334400 # ['l_partkey']
15 1645707264 # ['l_quantity']
16 1567334400 # ['l_receiptdate']
17 1410605056 # ['l_returnflag']
18 1567334400 # ['l_shipdate']
19 3291414528 # ['l_shipinstruct']
20 2115903488 # ['l_shipmode']
21 1567334400 # ['l_suppkey']
22 1567334400 # ['l_tax']
23 8192 # ['n_name']
24 8192 # ['n_nationkey']
25 8192 # ['n_regionkey']
26 1273700352 # ['o_comment']
27 391905280 # ['o_custkey']
28 391905280 # ['o_orderdate']
29 391905280 # ['o_orderkey']
30 627048448 # ['o_orderpriority']
31 352714752 # ['o_orderstatus']
32 391905280 # ['o_shippriority']
33 470286336 # ['o_totalprice']
34 70541312 # ['p_brand']
35 70541312 # ['p_container']
36 128024576 # ['p_name']
37 52248576 # ['p_partkey']
38 52248576 # ['p_size']
39 96665600 # ['p_type']
40 209133568 # ['ps_availqty']
41 209133568 # ['ps_partkey']
42 209133568 # ['ps_suppkey']
43 230047744 # ['ps_supplycost']
44 8192 # ['r_name']
45 8192 # ['r_regionkey']
46 5349376 # ['s_address']
47 10313728 # ['s_comment']
48 5480448 # ['s_name']
49 2605056 # ['s_nationkey']
50 4177920 # ['s_phone']
51 2605056 # ['s_suppkey']
52 107765760 # ['c_acctbal', 'c_address']
227 2821210112 # ['l_shipdate', 'l_extendedprice']
228 2351005696 # ['l_shipdate', 'l_linestatus']
229 2507743232 # ['l_shipdate', 'l_orderkey']
230 2507743232 # ['l_shipdate', 'l_partkey']
231 2586107904 # ['l_shipdate', 'l_quantity']
232 2507743232 # ['l_shipdate', 'l_receiptdate']
233 2351005696 # ['l_shipdate', 'l_returnflag']
234 4231815168 # ['l_shipdate', 'l_shipinstruct']
235 3056312320 # ['l_shipdate', 'l_shipmode']
236 2507743232 # ['l_shipdate', 'l_suppkey']
237 2507743232 # ['l_shipdate', 'l_tax']
238 4231815168 # ['l_shipinstruct', 'l_commitdate']
239 4231815168 # ['l_shipinstruct', 'l_discount']
240 4545282048 # ['l_shipinstruct', 'l_extendedprice']
241 4075085824 # ['l_shipinstruct', 'l_linestatus']
242 4231815168 # ['l_shipinstruct', 'l_orderkey']
243 4231815168 # ['l_shipinstruct', 'l_partkey']
244 4310188032 # ['l_shipinstruct', 'l_quantity']
245 4231815168 # ['l_shipinstruct', 'l_receiptdate']
246 4075085824 # ['l_shipinstruct', 'l_returnflag']
247 4231815168 # ['l_shipinstruct', 'l_shipdate']
248 4780384256 # ['l_shipinstruct', 'l_shipmode']
249 4231815168 # ['l_shipinstruct', 'l_suppkey']
250 4231815168 # ['l_shipinstruct', 'l_tax']
251 3056312320 # ['l_shipmode', 'l_commitdate']
252 3056312320 # ['l_shipmode', 'l_discount']
253 3369779200 # ['l_shipmode', 'l_extendedprice']
254 2899574784 # ['l_shipmode', 'l_linestatus']
255 3056312320 # ['l_shipmode', 'l_orderkey']
256 3056312320 # ['l_shipmode', 'l_partkey']
257 3134676992 # ['l_shipmode', 'l_quantity']
258 3056312320 # ['l_shipmode', 'l_receiptdate']
259 2899574784 # ['l_shipmode', 'l_returnflag']
260 3056312320 # ['l_shipmode', 'l_shipdate']
261 4780384256 # ['l_shipmode', 'l_shipinstruct']
262 3056312320 # ['l_shipmode', 'l_suppkey']
263 3056312320 # ['l_shipmode', 'l_tax']
264 2507743232 # ['l_suppkey', 'l_commitdate']
265 2507743232 # ['l_suppkey', 'l_discount']
266 2821210112 # ['l_suppkey', 'l_extendedprice']
267 2351005696 # ['l_suppkey', 'l_linestatus']
268 2507743232 # ['l_suppkey', 'l_orderkey']
269 2507743232 # ['l_suppkey', 'l_partkey']
270 2586107904 # ['l_suppkey', 'l_quantity']
271 2507743232 # ['l_suppkey', 'l_receiptdate']
272 2351005696 # ['l_suppkey', 'l_returnflag']
273 2507743232 # ['l_suppkey', 'l_shipdate']
274 4231815168 # ['l_suppkey', 'l_shipinstruct']
275 3056312320 # ['l_suppkey', 'l_shipmode']
276 2507743232 # ['l_suppkey', 'l_tax']
277 2507743232 # ['l_tax', 'l_commitdate']
278 2507743232 # ['l_tax', 'l_discount']
279 2821210112 # ['l_tax', 'l_extendedprice']
280 2351005696 # ['l_tax', 'l_linestatus']
281 2507743232 # ['l_tax', 'l_orderkey']
282 2507743232 # ['l_tax', 'l_partkey']
283 2586107904 # ['l_tax', 'l_quantity']
284 2507743232 # ['l_tax', 'l_receiptdate']
285 2351005696 # ['l_tax', 'l_returnflag']
286 2507743232 # ['l_tax', 'l_shipdate']
287 4231815168 # ['l_tax', 'l_shipinstruct']
288 3056312320 # ['l_tax', 'l_shipmode']
289 2507743232 # ['l_tax', 'l_suppkey']
290 8192 # ['n_name', 'n_nationkey']
291 8192 # ['n_name', 'n_regionkey']
292 8192 # ['n_nationkey', 'n_name']
293 8192 # ['n_nationkey', 'n_regionkey']
294 8192 # ['n_regionkey', 'n_name']
295 8192 # ['n_regionkey', 'n_nationkey']
296 1508843520 # ['o_comment', 'o_custkey']
297 1508843520 # ['o_comment', 'o_orderdate']
298 1508843520 # ['o_comment', 'o_orderkey']
299 1743986688 # ['o_comment', 'o_orderpriority']
300 1469652992 # ['o_comment', 'o_orderstatus']
301 1508843520 # ['o_comment', 'o_shippriority']
302 1587224576 # ['o_comment', 'o_totalprice']
303 1508843520 # ['o_custkey', 'o_comment']
304 627048448 # ['o_custkey', 'o_orderdate']
305 627048448 # ['o_custkey', 'o_orderkey']
306 862191616 # ['o_custkey', 'o_orderpriority']
307 587857920 # ['o_custkey', 'o_orderstatus']
308 627048448 # ['o_custkey', 'o_shippriority']
309 705429504 # ['o_custkey', 'o_totalprice']
310 1508843520 # ['o_orderdate', 'o_comment']
311 627048448 # ['o_orderdate', 'o_custkey']
312 627048448 # ['o_orderdate', 'o_orderkey']
313 862191616 # ['o_orderdate', 'o_orderpriority']
314 587857920 # ['o_orderdate', 'o_orderstatus']
315 627048448 # ['o_orderdate', 'o_shippriority']
316 705429504 # ['o_orderdate', 'o_totalprice']
317 1508843520 # ['o_orderkey', 'o_comment']
318 627048448 # ['o_orderkey', 'o_custkey']
319 627048448 # ['o_orderkey', 'o_orderdate']
320 862191616 # ['o_orderkey', 'o_orderpriority']
321 587857920 # ['o_orderkey', 'o_orderstatus']
322 627048448 # ['o_orderkey', 'o_shippriority']
323 705429504 # ['o_orderkey', 'o_totalprice']
324 1743986688 # ['o_orderpriority', 'o_comment']
325 862191616 # ['o_orderpriority', 'o_custkey']
326 862191616 # ['o_orderpriority', 'o_orderdate']
327 862191616 # ['o_orderpriority', 'o_orderkey']
328 823001088 # ['o_orderpriority', 'o_orderstatus']
329 862191616 # ['o_orderpriority', 'o_shippriority']
330 940580864 # ['o_orderpriority', 'o_totalprice']
331 1469652992 # ['o_orderstatus', 'o_comment']
332 587857920 # ['o_orderstatus', 'o_custkey']
333 587857920 # ['o_orderstatus', 'o_orderdate']
334 587857920 # ['o_orderstatus', 'o_orderkey']
335 823001088 # ['o_orderstatus', 'o_orderpriority']
336 587857920 # ['o_orderstatus', 'o_shippriority']
337 666238976 # ['o_orderstatus', 'o_totalprice']
338 1508843520 # ['o_shippriority', 'o_comment']
339 627048448 # ['o_shippriority', 'o_custkey']
340 627048448 # ['o_shippriority', 'o_orderdate']
341 627048448 # ['o_shippriority', 'o_orderkey']
342 862191616 # ['o_shippriority', 'o_orderpriority']
343 587857920 # ['o_shippriority', 'o_orderstatus']
344 705429504 # ['o_shippriority', 'o_totalprice']
345 1587224576 # ['o_totalprice', 'o_comment']
346 705429504 # ['o_totalprice', 'o_custkey']
347 705429504 # ['o_totalprice', 'o_orderdate']
348 705429504 # ['o_totalprice', 'o_orderkey']
349 940580864 # ['o_totalprice', 'o_orderpriority']
350 666238976 # ['o_totalprice', 'o_orderstatus']
351 705429504 # ['o_totalprice', 'o_shippriority']
352 120184832 # ['p_brand', 'p_container']
353 177668096 # ['p_brand', 'p_name']
354 101892096 # ['p_brand', 'p_partkey']
355 101892096 # ['p_brand', 'p_size']
356 146309120 # ['p_brand', 'p_type']
357 120184832 # ['p_container', 'p_brand']
358 177668096 # ['p_container', 'p_name']
359 101892096 # ['p_container', 'p_partkey']
360 101892096 # ['p_container', 'p_size']
361 146309120 # ['p_container', 'p_type']
362 177668096 # ['p_name', 'p_brand']
363 177668096 # ['p_name', 'p_container']
364 159375360 # ['p_name', 'p_partkey']
365 159375360 # ['p_name', 'p_size']
366 203792384 # ['p_name', 'p_type']
367 101892096 # ['p_partkey', 'p_brand']
368 101892096 # ['p_partkey', 'p_container']
369 159375360 # ['p_partkey', 'p_name']
370 83607552 # ['p_partkey', 'p_size']
371 128024576 # ['p_partkey', 'p_type']
372 101892096 # ['p_size', 'p_brand']
373 101892096 # ['p_size', 'p_container']
374 159375360 # ['p_size', 'p_name']
375 83607552 # ['p_size', 'p_partkey']
376 128024576 # ['p_size', 'p_type']
377 146309120 # ['p_type', 'p_brand']
378 146309120 # ['p_type', 'p_container']
379 203792384 # ['p_type', 'p_name']
380 128024576 # ['p_type', 'p_partkey']
381 128024576 # ['p_type', 'p_size']
382 334610432 # ['ps_availqty', 'ps_partkey']
383 334610432 # ['ps_availqty', 'ps_suppkey']
384 355524608 # ['ps_availqty', 'ps_supplycost']
385 334610432 # ['ps_partkey', 'ps_availqty']
386 334610432 # ['ps_partkey', 'ps_suppkey']
387 355524608 # ['ps_partkey', 'ps_supplycost']
388 334610432 # ['ps_suppkey', 'ps_availqty']
389 334610432 # ['ps_suppkey', 'ps_partkey']
390 355524608 # ['ps_suppkey', 'ps_supplycost']
391 355524608 # ['ps_supplycost', 'ps_availqty']
392 355524608 # ['ps_supplycost', 'ps_partkey']
393 355524608 # ['ps_supplycost', 'ps_suppkey']
394 8192 # ['r_name', 'r_regionkey']
395 8192 # ['r_regionkey', 'r_name']
396 14630912 # ['s_address', 's_comment']
397 9797632 # ['s_address', 's_name']
398 6922240 # ['s_address', 's_nationkey']
399 8486912 # ['s_address', 's_phone']
400 6922240 # ['s_address', 's_suppkey']
401 14630912 # ['s_comment', 's_address']
402 14761984 # ['s_comment', 's_name']
403 11886592 # ['s_comment', 's_nationkey']
404 13451264 # ['s_comment', 's_phone']
405 11886592 # ['s_comment', 's_suppkey']
406 9797632 # ['s_name', 's_address']
407 14761984 # ['s_name', 's_comment']
408 7053312 # ['s_name', 's_nationkey']
409 8617984 # ['s_name', 's_phone']
410 7053312 # ['s_name', 's_suppkey']
411 6922240 # ['s_nationkey', 's_address']
412 11886592 # ['s_nationkey', 's_comment']
413 7053312 # ['s_nationkey', 's_name']
414 5742592 # ['s_nationkey', 's_phone']
415 4177920 # ['s_nationkey', 's_suppkey']
416 8486912 # ['s_phone', 's_address']
417 13451264 # ['s_phone', 's_comment']
418 8617984 # ['s_phone', 's_name']
419 5742592 # ['s_phone', 's_nationkey']
420 5742592 # ['s_phone', 's_suppkey']
421 6922240 # ['s_suppkey', 's_address']
422 11886592 # ['s_suppkey', 's_comment']
423 7053312 # ['s_suppkey', 's_name']
424 4177920 # ['s_suppkey', 's_nationkey']
425 5742592 # ['s_suppkey', 's_phone']
;

set combi[0]:= ;
set combi[1]:= 38;
set combi[2]:= 167;
set combi[3]:= 51;
set combi[4]:= 176;
set combi[5]:= 377;
set combi[6]:= 307;
set combi[7]:= 322;
set combi[8]:= 233;
set combi[9]:= 378;
set combi[10]:= 150;
set combi[11]:= 162;
set combi[12]:= 424;
set combi[13]:= 354;
set combi[14]:= 415;
set combi[15]:= 27;
set combi[16]:= 173;
set combi[17]:= 163;
set combi[18]:= 137;
set combi[19]:= 216;
set combi[20]:= 83;
set combi[21]:= 353;
set combi[22]:= 375;
set combi[23]:= 174;
set combi[24]:= 229;
set combi[25]:= 14;
set combi[26]:= 182;
set combi[27]:= 178;
set combi[28]:= 184;
set combi[29]:= 306;
set combi[30]:= 232;
set combi[31]:= 380;
set combi[32]:= 319;
set combi[33]:= 374;
set combi[34]:= 425;
set combi[35]:= 243;
set combi[36]:= 171;
set combi[37]:= 18;
set combi[38]:= 24;
set combi[39]:= 185;
set combi[40]:= 49;
set combi[41]:= 168;
set combi[42]:= 381;
set combi[43]:= 227;
set combi[44]:= 183;
set combi[45]:= 268;
set combi[46]:= 421;
set combi[47]:= 39;
set combi[48]:= 179;
set combi[49]:= 97;
set combi[50]:= 323;
set combi[51]:= 292;
set combi[52]:= 256;
set combi[53]:= 357;
set combi[54]:= 317;
set combi[55]:= 228;
set combi[56]:= 124;
set combi[57]:= 390;
set combi[58]:= 170;
set combi[59]:= 180;
set combi[60]:= 334;
set combi[61]:= 423;
set combi[62]:= 160;
set combi[63]:= 164;
set combi[64]:= 281;
set combi[65]:= 34;
set combi[66]:= 230;
set combi[67]:= 35;
set combi[68]:= 304;
set combi[69]:= 161;
set combi[70]:= 4;
set combi[71]:= 1;
set combi[72]:= 356;
set combi[73]:= 169;
set combi[74]:= 165;
set combi[75]:= 308;
set combi[76]:= 226;
set combi[77]:= 234;
set combi[78]:= 379;
set combi[79]:= 231;
set combi[80]:= 321;
set combi[81]:= 42;
set combi[82]:= 236;
set combi[83]:= 177;
set combi[84]:= 359;
set combi[85]:= 29;
set combi[86]:= 305;
set combi[87]:= 376;
set combi[88]:= 309;
set combi[89]:= 111;
set combi[90]:= 318;
set combi[91]:= 13;
set combi[92]:= 389;
set combi[93]:= 422;
set combi[94]:= 303;
set combi[95]:= 172;
set combi[96]:= 190;
set combi[97]:= 388;
set combi[98]:= 352;
set combi[99]:= 269;
set combi[100]:= 360;
set combi[101]:= 237;
set combi[102]:= 293;
set combi[103]:= 166;
set combi[104]:= 355;
set combi[105]:= 235;
set combi[106]:= 320;
set combi[107]:= 225;
set combi[108]:= 175;
set combi[109]:= 203;
set combi[110]:= 372;
set combi[111]:= 181;
set combi[112]:= 373;
set combi[113]:= 38 167;
set combi[114]:= 38 417;
set combi[115]:= 38 51;
set combi[116]:= 38 55;
set combi[117]:= 38 109;
set combi[118]:= 38 315;
set combi[119]:= 38 335;
set combi[120]:= 38 176;
set combi[121]:= 38 69;
set combi[122]:= 38 11;
set combi[123]:= 38 130;
set combi[124]:= 38 31;
set combi[125]:= 38 377;
set combi[126]:= 38 197;
set combi[127]:= 38 126;
set combi[128]:= 38 307;
set combi[129]:= 38 322;
set combi[130]:= 38 233;
set combi[131]:= 38 378;
set combi[132]:= 38 61;
set combi[133]:= 38 290;
set combi[134]:= 38 150;
set combi[135]:= 38 328;
set combi[136]:= 38 162;
set combi[137]:= 38 255;
set combi[138]:= 38 424;
set combi[139]:= 38 354;
set combi[140]:= 38 194;
set combi[141]:= 38 3;
set combi[142]:= 38 399;
set combi[143]:= 38 110;
set combi[144]:= 38 297;
set combi[145]:= 38 76;
set combi[146]:= 38 395;
set combi[147]:= 38 289;
set combi[148]:= 38 276;
set combi[149]:= 38 12;
set combi[150]:= 38 415;
set combi[151]:= 38 103;
set combi[152]:= 38 344;
set combi[153]:= 38 27;
set combi[154]:= 38 91;
set combi[155]:= 38 72;
set combi[156]:= 38 173;
set combi[157]:= 38 47;
set combi[158]:= 38 316;
set combi[159]:= 38 336;
set combi[160]:= 38 189;
set combi[161]:= 38 163;
set combi[162]:= 38 2;
set combi[163]:= 38 137;
set combi[164]:= 38 210;
set combi[165]:= 38 275;
set combi[166]:= 38 286;
set combi[167]:= 38 63;
set combi[168]:= 38 325;
set combi[169]:= 38 369;
set combi[170]:= 38 363;
set combi[171]:= 38 240;
set combi[172]:= 38 271;
set combi[173]:= 38 347;
set combi[174]:= 38 216;
set combi[175]:= 38 102;
set combi[176]:= 38 358;
set combi[177]:= 38 384;
set combi[178]:= 38 420;
set combi[179]:= 38 92;
set combi[180]:= 38 386;
set combi[181]:= 38 401;
set combi[182]:= 38 79;
set combi[183]:= 38 207;
set combi[184]:= 38 391;
set combi[185]:= 38 133;
set combi[186]:= 38 83;
set combi[187]:= 38 353;
set combi[188]:= 38 112;
set combi[189]:= 38 375;
set combi[190]:= 38 174;
set combi[191]:= 38 229;
set combi[192]:= 38 93;
set combi[193]:= 38 14;
set combi[194]:= 38 182;
set combi[195]:= 38 241;
set combi[196]:= 38 298;
set combi[197]:= 38 178;
set combi[198]:= 38 184;
set combi[199]:= 38 131;
set combi[200]:= 38 412;
set combi[201]:= 38 306;
set combi[202]:= 38 186;
set combi[203]:= 38 202;
set combi[204]:= 38 158;
set combi[205]:= 38 191;
set combi[206]:= 38 232;
