#109
#109
# what-if time: 3.8526148796081543
# cost_requests: 8094	cache_hits: 5433
data;

set QUERIES :=  1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 21 22;

param a :=
1 43106304 # ['c_acctbal']
2 39190528 # ['c_custkey']
3 1567326208 # ['l_orderkey']
4 1567326208 # ['l_partkey']
5 1567326208 # ['l_shipdate']
6 391897088 # ['o_custkey']
7 391897088 # ['o_orderkey']
8 70541312 # ['p_brand']
9 70541312 # ['p_container']
10 52248576 # ['p_size']
11 96665600 # ['p_type']
12 209076224 # ['ps_suppkey']
13 2605056 # ['s_nationkey']
14 2605056 # ['s_suppkey']
15 76414976 # ['c_mktsegment', 'c_custkey']
set combi[58]:= 82;
set combi[59]:= 107;
set combi[60]:= 21;
set combi[61]:= 25;
set combi[62]:= 67;
set combi[63]:= 8;
set combi[64]:= 55;
set combi[65]:= 9;
set combi[66]:= 69;
set combi[67]:= 22;
set combi[68]:= 2;
set combi[69]:= 1;
set combi[70]:= 87;
set combi[71]:= 30;
set combi[72]:= 26;
set combi[73]:= 73;
set combi[74]:= 51;
set combi[75]:= 59;
set combi[76]:= 98;
set combi[77]:= 56;
set combi[78]:= 79;
set combi[79]:= 12;
set combi[80]:= 61;
set combi[81]:= 38;
set combi[82]:= 89;
set combi[83]:= 7;
set combi[84]:= 70;
set combi[85]:= 95;
set combi[86]:= 74;
set combi[87]:= 17;
set combi[88]:= 76;
set combi[89]:= 3;
set combi[90]:= 102;
set combi[91]:= 106;
set combi[92]:= 68;
set combi[93]:= 33;
set combi[94]:= 47;
set combi[95]:= 101;
set combi[96]:= 83;
set combi[97]:= 66;
set combi[98]:= 90;
set combi[99]:= 62;
set combi[100]:= 27;
set combi[101]:= 86;
set combi[102]:= 60;
set combi[103]:= 78;
set combi[104]:= 50;
set combi[105]:= 36;
set combi[106]:= 48;
set combi[107]:= 91;
set combi[108]:= 42;
set combi[109]:= 92;

param f4 :=
1 0 2298811.81
2 0 2707740.57
2 20 2675141.63
3 0 1965657.35
3 2 1272930.46
3 11 1286244.47
3 17 1272930.46
3 36 1277468.65
3 40 1277468.65
3 56 1292575.4
3 60 1277468.65
3 61 1277468.65
3 67 1277468.65
3 71 1334946.84
3 72 1279699.59
3 89 438260.41
3 93 1277468.65
3 100 1277468.65
4 0 2072950.01
4 14 2064447.5
5 0 1690317.82
6 0 1960722.72
6 14 1960508.81
6 84 1771144.23
7 0 1956013.97
7 4 1060466.24
7 5 1932855.97
7 9 1932855.97
7 16 1060497.9
7 23 1060497.9
7 25 1060222.62
7 26 1060294.59
7 27 1060511.23
7 28 1060497.9
7 31 1905531.49
7 38 1060497.9
7 41 1932795.97
7 43 1060284.59
7 46 1932695.97
7 47 1060497.9
7 48 1930127.14
7 57 1060466.24
7 76 1933039.97
7 81 1060497.9
7 105 1060441.24
7 108 1060497.9
8 0 2187231.66
8 3 2184513.52
8 7 1840696.37
8 12 2184362.72
8 28 1822174.71
8 32 1840542.24
8 34 2184513.29
8 45 2184513.35
8 49 1840697.17
8 52 1840704.81
8 59 2184513.42
8 78 1840695.97
8 83 1840693.94
8 88 1840696.37
8 91 2184513.45
8 97 1822174.71
8 103 1840698.73
9 0 2110613.54
10 0 517851.7
10 14 513282.54
10 39 517772.46
10 55 121082.39
10 79 116542.21
10 90 120433.88
10 95 120433.88
11 0 2181093.76
11 103 2040292.39
12 0 1522122.15
12 68 1512931.21
13 0 1582571.88
13 8 1523649.39
13 24 1524625.39
13 30 1524625.39
13 37 1518753.39
13 42 1526585.39
13 53 1523649.39
13 64 1524625.39
13 74 1524625.39
13 75 1535393.39
13 77 1525117.39
13 80 1524625.39
13 99 1524625.39
13 102 1528053.39
13 104 1524625.39
14 0 3229480.54
14 3 3216326.7
14 12 3216550.7
14 34 3216682.7
14 45 3216754.7
14 59 3216758.7
14 91 3216918.7
15 0 429190.97
15 1 417946.87
15 22 420202.87
15 33 425682.87
15 85 423402.87
15 107 421534.87
15 109 421534.87
16 0 6710078.52
16 72 3095404.35
16 89 3722701.96
17 0 1953562.92
17 4 311676.37
17 13 1930113.16
17 16 311679.7
17 21 1934529.16
17 23 311679.7
17 25 311639.9
17 26 142685.64
17 27 311681.37
17 28 311679.7
17 35 140990.44
17 38 311679.7
17 43 126496.57
17 47 311679.7
17 50 126217.23
17 51 1915322.56
17 57 311676.37
17 63 1928285.16
17 65 1943253.79
17 70 1932701.16
17 81 311679.7
17 82 1947649.79
17 96 1915322.56
17 98 1924893.87
17 101 1922865.95
17 105 311686.37
17 108 311679.7
18 0 5173974.55
18 2 2979814.09
18 7 4823538.04
18 10 4882637.0
18 11 2982205.29
18 17 2979814.09
18 18 5084276.59
18 19 4882665.82
18 24 4949807.82
18 32 4823538.04
18 36 1959170.1
18 40 2980618.92
18 44 4949284.13
18 49 4823538.04
18 52 4823538.07
18 54 4949805.75
18 56 2983375.45
18 58 4823534.6
18 60 2980618.92
18 61 2980618.92
18 62 4949804.45
18 67 2980618.92
18 71 3004760.25
18 72 2981018.52
18 78 4823534.6
18 81 4949807.82
18 83 4823538.03
18 87 4949807.82
18 88 4823538.04
18 89 1972602.16
18 93 2980618.92
18 94 4983391.89
18 100 2980618.92
18 103 4823538.05
18 106 4949807.82
19 0 558374.12
19 6 110552.71
19 15 110449.51
19 29 110624.34
19 66 110566.32
19 69 558207.05
19 73 110566.32
19 84 110566.32
19 86 110589.55
19 92 110694.94
;

param budget := 5000000000;
